player_team,0,1,2,3,4,5,6
Akron Zips - Amani Lyles,,26.0,done,done,done,done,done
Akron Zips - Bowen Hardman,,0.0,done,done,done,done,done
Akron Zips - Eric Mahaffey,,8.0,done,done,done,done,done
Akron Zips - Evan Mahaffey,,8.0,done,done,done,done,done
Akron Zips - Marvin Musiime-Kamali,,0.0,done,done,done,done,done
Akron Zips - Shammah Scott,,20.0,done,done,done,done,done
Akron Zips - Sharron Young,,4.0,done,done,done,done,done
Akron Zips - Tavari Johnson,,4.0,done,done,done,done,done
Akron Zips - Zach Halligan,,0.0,done,done,done,done,done
Alabama Crimson Tide - Aiden Sherrell,,15.0,,,,,
Alabama Crimson Tide - Amari Allen,,11.0,,,,,
Alabama Crimson Tide - Houston Mallette,,0.0,,,,,
Alabama Crimson Tide - Jacob Martin,,0.0,,,,,
Alabama Crimson Tide - Jalil Bethea,,0.0,,,,,
Alabama Crimson Tide - Labaron Philon Jr.,,29.0,,,,,
Alabama Crimson Tide - Latrell Wrightsell,,11.0,,,,,
Alabama Crimson Tide - London Jemison,,6.0,,,,,
Alabama Crimson Tide - Noah Williamson,,3.0,,,,,
Alabama Crimson Tide - Preston Murphy Jr.,,0.0,,,,,
Alabama Crimson Tide - Taylor Bol Bowen,,15.0,,,,,
Arizona Wildcats - Addison Arnold,,2.0,,,,,
Arizona Wildcats - Anthony Dell'Orso,,8.0,,,,,
Arizona Wildcats - Brayden Burries,,18.0,,,,,
Arizona Wildcats - Dwayne Aristode,,4.0,,,,,
Arizona Wildcats - Evan Nelson,,0.0,,,,,
Arizona Wildcats - Ivan Kharchenkov,,14.0,,,,,
Arizona Wildcats - Jackson Cook,,0.0,,,,,
Arizona Wildcats - Jackson Francois,,0.0,,,,,
Arizona Wildcats - Jaden Bradley,,7.0,,,,,
Arizona Wildcats - Koa Peat,,15.0,,,,,
Arizona Wildcats - Motiejus Krivas,,9.0,,,,,
Arizona Wildcats - Sidi Gueye,,4.0,,,,,
Arizona Wildcats - Sven Djopmo,,0.0,,,,,
Arizona Wildcats - Tobe Awaka,,11.0,,,,,
Arkansas Razorbacks - Billy Richmond III,,10.0,15.0,,,,
Arkansas Razorbacks - D.J. Wagner,,7.0,2.0,,,,
Arkansas Razorbacks - Darius Acuff Jr.,,24.0,36.0,,,,
Arkansas Razorbacks - Isaiah Sealy,,0.0,0.0,,,,
Arkansas Razorbacks - Malique Ewin,,16.0,14.0,,,,
Arkansas Razorbacks - Meleek Thomas,,21.0,19.0,,,,
Arkansas Razorbacks - Trevon Brazile,,19.0,8.0,,,,
BYU Cougars - AJ Dybantsa,,35.0,done,done,done,done,done
BYU Cougars - Abdullah Ahmed,,0.0,done,done,done,done,done
BYU Cougars - Aleksej Kostic,,8.0,done,done,done,done,done
BYU Cougars - Dominique Diomande,,0.0,done,done,done,done,done
BYU Cougars - Keba Keita,,5.0,done,done,done,done,done
BYU Cougars - Kennard Davis Jr.,,9.0,done,done,done,done,done
BYU Cougars - Khadim Mboup,,0.0,done,done,done,done,done
BYU Cougars - Mihailo Boškovic,,0.0,done,done,done,done,done
BYU Cougars - Robert Wright III,,14.0,done,done,done,done,done
California Baptist Lancers - Bradey Henige,,4.0,done,done,done,done,done
California Baptist Lancers - Devon Malcolm,,2.0,done,done,done,done,done
California Baptist Lancers - Dominique Daniels Jr.,,25.0,done,done,done,done,done
California Baptist Lancers - Jayden Jackson,,2.0,done,done,done,done,done
California Baptist Lancers - Jonathan Griman,,6.0,done,done,done,done,done
California Baptist Lancers - Jordan Muller,,0.0,done,done,done,done,done
California Baptist Lancers - Martel Williams,,15.0,done,done,done,done,done
California Baptist Lancers - Miles Daniels,,4.0,done,done,done,done,done
California Baptist Lancers - Thomas Ndong,,2.0,done,done,done,done,done
Clemson Tigers - Ace Buckner,,5.0,done,done,done,done,done
Clemson Tigers - Butta Johnson,,11.0,done,done,done,done,done
Clemson Tigers - Chase Thompson,,2.0,done,done,done,done,done
Clemson Tigers - Dallas Thomas,,3.0,done,done,done,done,done
Clemson Tigers - Dillon Hunter,,8.0,done,done,done,done,done
