,,,FTA,FTA,FTA,FTA,FTA,FTA,FGM,FGM,FGM,FGM,FGM,FGM,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,MIN,MIN,MIN,MIN,MIN,MIN,FTM,FTM,FTM,FTM,FTM,FTM,PTS,PTS,PTS,PTS,PTS,PTS,FGA,FGA,FGA,FGA,FGA,FGA,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Arizona,A. Trier,5.8,2,10,3.04776785351,58,10,4.4,2,8,2.0110804172,44,10,1.8,1,3,0.788810637747,18,10,28.0,16,39,6.27162924074,280,10,4.7,1,9,2.79085809186,47,10,15.3,7,23,5.92640044396,153,10,10.7,5,17,3.09300285591,107,10,4.7,2,7,1.76698110409,47,10
12,Arizona,C. Comanche,0.444444444444,0,4,1.33333333333,4,1,0.777777777778,0,3,1.09290642072,7,4,0.0,0,0,0.0,0,0,5.77777777778,2,13,4.0551750202,52,9,0.333333333333,0,3,1.0,3,1,1.88888888889,0,6,2.14734978779,17,5,1.0,0,4,1.32287565553,9,5,0.0,0,0,0.0,0,0
12,Arizona,D. Ristic,2.07692307692,0,7,2.32599578896,27,7,2.07692307692,0,6,1.65637850251,27,12,0.0,0,0,0.0,0,0,14.0,9,19,3.53553390593,182,13,1.38461538462,0,4,1.55662356499,18,7,5.53846153846,0,16,4.50213624508,72,12,4.23076923077,1,11,2.65059258009,55,13,0.230769230769,0,1,0.438529009654,3,3
12,Arizona,G. York,1.69230769231,0,8,2.83973635468,22,5,6.23076923077,3,9,1.8327504901,81,13,3.53846153846,1,9,2.50384319981,46,13,34.4615384615,29,44,3.75533808099,448,13,1.15384615385,0,5,1.7722938924,15,5,17.1538461538,7,32,6.28286232336,223,13,14.5384615385,10,21,3.356967496,189,13,8.53846153846,4,16,3.90758630989,111,13
12,Arizona,J. Hazzard,0.0,0,0,0.0,0,0,2.0,1,3,1.41421356237,4,2,1.5,0,3,2.12132034356,3,1,5.5,4,7,2.12132034356,11,2,0.0,0,0,0.0,0,0,5.5,2,9,4.94974746831,11,2,3.0,2,4,1.41421356237,6,2,2.5,1,4,2.12132034356,5,2
12,Arizona,J. Simon,0.0,0,0,0.0,0,0,0.428571428571,0,2,0.786795792469,3,2,0.142857142857,0,1,0.377964473009,1,1,5.14285714286,1,12,3.53216512584,36,7,0.0,0,0,0.0,0,0,1.0,0,5,1.91485421551,7,2,1.14285714286,0,4,1.6761634197,8,3,0.285714285714,0,2,0.755928946018,2,1
12,Arizona,K. Allen,3.38461538462,0,10,3.30500785522,44,9,2.30769230769,0,5,1.70218562367,30,10,0.307692307692,0,1,0.480384461415,4,4,24.5384615385,7,40,8.49132287118,319,13,2.38461538462,0,9,2.59930957302,31,9,7.30769230769,0,14,4.23053612411,95,12,5.76923076923,1,11,3.34549065046,75,13,1.30769230769,0,3,0.947330933431,17,10
12,Arizona,K. Tarczewski,4.23076923077,0,8,2.45471811531,55,12,2.76923076923,1,4,1.16575055607,36,13,0.0,0,0,0.0,0,0,29.0769230769,21,35,4.05095746833,378,13,2.76923076923,0,5,1.73943698525,36,12,8.30769230769,4,13,2.56205046088,108,13,5.61538461538,2,9,2.2188007849,73,13,0.0,0,0,0.0,0,0
